"","decimalLongitude","decimalLatitude","species"
"344",-10.906346,7.494913,1
"345",-10.906392,7.494994,1
"346",-10.906254,7.494624,1
"347",-10.857539,7.491099,1
"348",-10.906225,7.494136,1
"349",-10.881768,7.477714,1
"350",-10.882162,7.480723,1
"351",-10.881632,7.47559,1
"352",-10.857652,7.500808,1
"353",-10.857454,7.494679,1
"354",-10.859286,7.454466,1
"355",-10.882086,7.511671,1
"356",-10.882117,7.512421,1
"357",-10.833756,7.438271,1
"358",-10.858738,7.449016,1
"359",-1.791371,11.02653,1
"360",16.236412,2.2301,1
"361",16.062275,-2.399528,1
"362",16.465426,2.384378,1
"363",16.320492,2.270441,1
"364",-10.954067,7.357403,1
"365",-10.953935,7.345859,1
"366",-10.95422,7.359328,1
"367",-10.953663,7.304381,1
"368",-10.953651,7.316107,1
"369",-10.954233,7.360214,1
"370",-10.953638,7.30892,1
"371",-10.954263,7.36082,1
"372",-10.954059,7.357747,1
"373",-10.929736,7.307585,1
"374",-10.953881,7.354267,1
"375",-10.95426,7.360286,1
"376",-10.9536,7.316794,1
"377",-10.95347,7.303686,1
"378",-10.953554,7.306199,1
"379",-10.929649,7.360917,1
"380",-10.95418,7.362565,1
"381",-10.929923,7.361359,1
"382",-10.953554,7.30628,1
"383",-10.929742,7.308959,1
"384",-10.953674,7.317246,1
"385",-10.929829,7.318515,1
"386",-10.929835,7.364026,1
"387",-10.929814,7.361233,1
"388",-10.929718,7.317964,1
"389",-10.92979,7.359832,1
"390",-10.929892,7.314284,1
"391",-10.929893,7.364831,1
"392",-10.929927,7.364478,1
"393",-10.92982,7.318651,1
"394",-10.929806,7.30904,1
"395",-10.689842,7.5826,1
"396",-10.690076,7.54258,1
"397",-10.690404,7.545219,1
"398",-10.690121,7.542589,1
"399",-10.690449,7.57796,1
"400",-10.690482,7.576974,1
"401",-10.713884,7.566792,1
"402",-10.690146,7.542019,1
"403",-10.714138,7.564774,1
"404",-10.690477,7.577969,1
"405",-10.690264,7.544243,1
"406",-10.690095,7.542743,1
"407",-10.690514,7.545589,1
"408",-10.690394,7.545147,1
"409",16.36126,2.889836,1
"410",-10.906252,7.405996,1
"411",-10.906309,7.421411,1
"412",-10.906193,7.402932,1
"413",-10.906152,7.410137,1
"414",-10.906237,7.410924,1
"415",-10.906363,7.417125,1
"416",-10.737605,7.509807,1
"417",-10.737049,7.522739,1
"418",-10.69002,7.6279,1
"419",-10.665356,7.586854,1
"420",-10.665701,7.584864,1
"421",-10.6652,7.581638,1
"422",-10.665226,7.58143,1
"423",-10.73788,7.551588,1
"424",-10.713606,7.608828,1
"425",-10.665329,7.579847,1
"426",-10.665619,7.577558,1
"427",11.391273,-3.808656,1
"428",11.252568,-3.929523,1
"429",-11.002294,7.330566,1
"430",-11.002095,7.33468,1
"431",-10.977681,7.350546,1
"432",-11.002223,7.332926,1
"433",-10.97806,7.360588,1
"434",-10.978021,7.359865,1
"435",-10.977389,7.350077,1
"436",-10.977746,7.357028,1
"437",-10.977778,7.358312,1
"438",-11.001858,7.326039,1
"439",-10.978434,7.351031,1
"440",-11.001879,7.328778,1
"441",-10.977548,7.347093,1
"442",-11.001874,7.327738,1
"443",-10.977725,7.317629,1
"444",-10.977876,7.31677,1
"445",-10.978278,7.31571,1
"446",-10.979711,7.310108,1
"447",-10.833488,7.47186,1
"448",-10.810124,7.517507,1
"449",-10.810228,7.516485,1
"450",-10.833009,7.476509,1
"451",-10.810174,7.516494,1
"452",-10.810228,7.516485,1
"453",-10.810024,7.519623,1
"454",-10.809642,7.521352,1
"455",-10.809706,7.52146,1
"456",-10.761845,7.526664,1
"457",-10.810113,7.517155,1
"458",-10.809726,7.521966,1
"459",-10.785855,7.522471,1
"460",-10.80986,7.523837,1
"461",-10.785629,7.52928,1
"462",-10.761826,7.526429,1
"463",-10.809674,7.522608,1
"464",-10.81007,7.519759,1
"465",-10.810024,7.519623,1
"466",-10.785842,7.514768,1
"467",16.4675,2.859444,1
"468",16.4675,2.859444,1
"469",-1.930228,9.293494,1
"470",-1.893686,9.377129,1
"471",11.65233,-0.294395,1
"472",11.630824,-0.251629,1
"473",-1.870285,9.264822,1
"474",-1.84887,9.286944,1
"475",-1.954438,9.291194,1
"476",36.875,-0.375,1
"477",16.370451,2.884989,1
"478",16.517285,2.979631,1
"479",16.335286,2.981635,1
"480",16.363032,2.898373,1
"481",16.258205,2.836628,1
"482",16.508927,2.292801,1
"483",-9.736,8.032,1
"484",-10.693,7.453,1
"485",-7.732,5.403,1
"486",-2.4,5.2,1
"487",14.850474,0.616486,1
"488",16.364085,2.954323,1
"489",14.873037,1.256236,1
"490",14.913833,1.272307,1
"491",14.87546,1.308456,1
"492",14.994031,1.373247,1
"493",14.897844,1.229892,1
"494",16.4675,2.859444,1
"495",9.694118,-2.333002,1
"496",-8.807,5.410797,1
"497",25.1,4.95,1
"498",25.1,4.95,1
"499",10.4,2.41,1
"500",10.4,2.41,1
"501",29.75,0.333333,1
"502",29.75,0.333333,1
"503",29.75,-0.316667,1
"504",29.75,-0.316667,1
"505",29.75,-0.316667,1
"506",29.75,-0.316667,1
"507",29.416667,4.333333,1
"508",29.416667,4.333333,1
"509",29.466667,0.483333,1
"510",29.466667,0.483333,1
"511",29.466667,0.483333,1
"512",29.466667,0.483333,1
"513",29.466667,0.483333,1
"514",29.466667,0.483333,1
"515",30.05,0.8333,1
"516",30.05,0.8333,1
"517",30.05,0.8333,1
"518",30.05,0.8333,1
"519",30.05,0.8333,1
"520",30.05,0.8333,1
"521",29.766667,0.433333,1
