"","decimalLongitude","decimalLatitude","species"
"145",27.163345,-25.226009,1
"146",32.244645,-28.260389,1
"147",38.333001,-3.417012,1
"148",36.83261,2.161024,1
"149",37.541753,-2.747982,1
"150",37.925122,1.777891,1
"151",25.729217,-33.42128,1
"152",25.717566,-33.505925,1
"153",25.887345,-33.513813,1
"154",27.124282,-25.21716,1
"155",32.251048,-21.376628,1
"156",26.297351,-24.713727,1
"157",32.213789,-21.244396,1
"158",31.615893,-25.275584,1
"159",32.012511,-21.478999,1
"160",30.228446,-18.028994,1
"161",31.716949,-24.815156,1
"162",38.580633,-3.283933,1
"163",27.573534,-24.400095,1
"164",25.922757,-33.322695,1
"165",25.856763,-33.255801,1
"166",25.659814,-33.480152,1
"167",25.912706,-33.361059,1
"168",37.097987,0.146588,1
"169",30.065801,-0.136613,1
"170",30.121404,-0.001863,1
"171",30.052069,-0.131687,1
"172",25.640371,-33.560407,1
"173",30.108614,-0.051167,1
"174",25.71894,-33.460456,1
"175",25.634116,-33.560161,1
"176",25.667912,-33.453347,1
"177",25.678268,-33.563546,1
"178",32.446273,-28.268008,1
"179",25.627288,-33.5599,1
"180",25.776483,-33.462058,1
"181",25.60648,-33.482298,1
"182",25.908371,-33.555917,1
"183",35.219492,-15.076811,1
"184",25.799724,-33.52007,1
"185",30.94216,-24.282534,1
"186",32.599288,-28.270916,1
"187",25.812534,-33.55556,1
"188",36.913287,-3.364343,1
"189",31.782563,-24.39579,1
"190",31.879318,-24.817871,1
"191",31.780279,-25.086081,1
"192",31.576254,-25.134909,1
"193",25.90169,-33.48618,1
"194",30.035731,-0.12426,1
"195",25.947039,-33.567422,1
"196",31.735468,-24.608088,1
"197",31.954183,-24.732279,1
"198",25.891241,-33.614697,1
"199",25.959814,-33.290519,1
"200",31.786191,-24.707294,1
"201",25.834531,-33.472069,1
"202",35.358868,-14.833007,1
"203",31.379569,-22.821805,1
"204",31.720844,-24.669957,1
"205",25.691483,-33.391646,1
"206",25.71553,-33.319505,1
"207",25.839577,-33.528602,1
"208",35.2929,-14.873932,1
"209",26.03371,-19.691854,1
"210",35.848166,-3.732641,1
"211",36.811785,0.426382,1
"212",34.991296,-2.759562,1
"213",35.158206,-2.989364,1
"214",37.016394,0.333704,1
"215",31.576108,-23.581226,1
"216",29.728403,-0.425419,1
"217",31.309093,-23.511878,1
"218",31.36783,-23.545047,1
"219",31.346063,-23.660643,1
"220",35.047371,-1.516215,1
"221",31.768099,-24.744395,1
