"","decimalLongitude","decimalLatitude","species"
"128",145.289726,-37.717159,1
"129",152.975128,-26.801669,1
"130",145.289858,-37.713533,1
"131",145.249782,-38.139222,1
"132",145.287362,-37.716899,1
"133",145.290843,-37.71638,1
"134",148.985004,-31.277558,1
"135",152.877126,-25.605446,1
"136",148.997812,-31.277089,1
"137",145.29113,-37.716416,1
"138",145.267853,-38.138801,1
"139",145.255539,-38.130897,1
"140",153.0047,-27.817525,1
"141",145.277408,-37.473777,1
"142",143.636193,-36.410145,1
"143",148.997812,-31.277089,1
"144",145.276866,-37.473505,1
"145",149.728701,-34.755351,1
"146",149.160376,-35.16564,1
"147",149.00605,-31.277417,1
"148",148.99735,-31.2864,1
"149",150.598248,-35.171001,1
"150",145.256513,-38.124923,1
"151",148.920426,-35.458881,1
"152",143.628095,-36.39505,1
"153",153.177114,-29.418899,1
"154",142.523963,-37.127335,1
"155",148.494887,-35.726776,1
"156",145.5,-37.6,1
"157",150.145385,-33.478687,1
"158",152.399511,-24.769072,1
"159",145.5,-37.6,1
"160",145.635431,-37.570371,1
"161",145.5,-37.6,1
"162",150.324649,-35.62779,1
"163",149.021782,-35.322355,1
"164",144.266957,-37.388972,1
"165",144.266957,-37.388972,1
"166",144.266957,-37.388972,1
"167",145.658233,-38.13375,1
"168",144.267592,-37.388894,1
"169",144.267592,-37.388894,1
"170",144.267592,-37.388894,1
"171",144.259917,-37.397055,1
"172",144.267592,-37.388894,1
"173",144.266957,-37.388972,1
"174",144.266957,-37.388972,1
"175",147.575278,-38.051389,1
"176",144.267592,-37.388894,1
"177",144.257754,-37.393371,1
"178",145.412278,-17.449544,1
"179",151.421187,-33.221426,1
"180",144.266957,-37.388972,1
"181",146.5629,-36.328329,1
"182",151.427829,-33.196303,1
"183",145.071596,-36.772862,1
"184",151.420543,-33.221964,1
"185",145.262138,-38.136144,1
"186",150.749157,-34.93221,1
"187",147.487649,-36.974309,1
"188",150.668452,-35.161536,1
"189",151.052816,-34.050396,1
"190",148.921705,-35.459019,1
"191",149.988611,-36.728002,1
"192",149.107924,-35.297686,1
"193",146.567063,-34.75974,1
"194",149.92653,-36.795618,1
"195",150.014386,-36.643693,1
"196",150.306646,-35.635313,1
"197",144.963058,-37.813628,1
"198",150.731068,-33.900822,1
"199",150.780718,-33.836221,1
"200",148.499803,-36.10849,1
"201",150.150617,-30.594867,1
"202",150.014087,-36.643699,1
"203",145.329047,-37.924604,1
"204",149.453942,-34.051933,1
"205",152.831277,-31.63628,1
"206",149.452223,-34.06009,1
"207",145.198986,-37.733115,1
"208",145.333927,-37.925012,1
"209",149.116925,-35.339406,1
"210",151.756945,-24.288587,1
"211",149.156205,-35.148705,1
"212",149.161334,-35.317016,1
"213",149.15699,-35.147718,1
"214",153.207139,-30.109162,1
"215",149.157805,-35.146818,1
"216",149.157477,-35.146738,1
"217",149.181452,-33.4834,1
"218",149.162252,-35.314576,1
"219",145.982072,-37.089192,1
"220",144.948831,-38.407735,1
"221",152.938963,-27.576278,1
"222",144.948942,-38.407757,1
"223",146.570449,-34.759921,1
"224",145.290202,-37.960427,1
"225",149.044997,-33.35107,1
"226",146.273604,-38.948797,1
"227",148.920705,-35.459559,1
"228",144.265231,-37.395463,1
"229",151.427571,-33.196044,1
"230",144.267011,-37.389045,1
"231",144.268317,-37.389247,1
"232",144.267011,-37.389045,1
"233",149.141206,-35.356327,1
"234",139.872325,-37.056198,1
"235",149.137515,-35.357032,1
"236",144.267688,-37.388898,1
"237",144.267011,-37.389045,1
"238",144.413837,-38.006465,1
"239",144.267011,-37.389045,1
"240",144.266201,-37.394338,1
"241",144.267011,-37.389045,1
"242",144.267688,-37.388898,1
"243",144.267011,-37.389045,1
"244",152.635952,-31.830545,1
"245",144.267011,-37.389045,1
"246",144.274481,-37.392845,1
"247",145.17491,-37.048367,1
"248",151.427582,-33.196061,1
"249",152.558831,-25.292205,1
"250",145.5,-37.7,1
"251",145.5,-37.7,1
"252",150.090898,-34.720328,1
"253",150.886714,-27.723097,1
"254",152.480062,-24.850567,1
"255",150.090882,-34.72029,1
